corpus	normalized_cite	n_citing_opinions	n_modern_citers	sample_oids
ndcc	N.D.C.C. § 11-17-04	1	0	9393
ndcc	N.D.C.C. ch. 26-02	1	0	9413
ndcc	N.D.C.C. § 26-02-15	1	0	9413
ndcc	N.D.C.C. § 26-02-29	1	0	9413
ndcc	N.D.C.C. § 39-20-05.3	1	0	9399
ndcc	N.D.C.C. ch. 69-03	1	0	9378
ndcc	N.D.C.C. § 12-33-02	1	0	9369
ndcc	N.D.C.C. ch. 91-1	1	0	9369
ndcc	N.D.C.C. § 27-07-02	1	0	9354
ndcc	N.D.C.C. § 14-14-18	1	0	9359
ndcc	N.D.C.C. § 14-14-19	1	0	9359
ndcc	N.D.C.C. § 14-14-20	1	0	9359
ndcc	N.D.C.C. § 32-2-08	1	0	9340
ndcc	N.D.C.C. § 12.106-04-5	1	0	9315
ndcc	N.D.C.C. ch. 96-19	1	0	9333
ndcc	N.D.C.C. § 28-06-11	1	0	9333
ndcc	N.D.C.C. § 90-7-11	1	0	9331
ndcc	N.D.C.C. ch. 12-03	1	0	9335
ndcc	N.D.C.C. § 60-02-11	1	0	9347
ndcc	N.D.C.C. § 47-14-05.6	1	0	9346
ndcc	N.D.C.C. § 39-06.111-2	1	0	9269
ndcc	N.D.C.C. § 10-25-06	1	0	9262
ndcc	N.D.C.C. § 59-20-07	1	0	9261
ndcc	N.D.C.C. § 19.1-03.1-01	1	0	9232
ndcc	N.D.C.C. § 51-19-04.3	1	0	9197
ndcc	N.D.C.C. § 30.1-13-0.71	1	0	9171
ndcc	N.D.C.C. § 40-50-23	1	0	9170
ndcc	N.D.C.C. § 40-50-24	1	0	9170
ndcc	N.D.C.C. ch. 61-24.4	1	0	9202
ndcc	N.D.C.C. § 29-28-7	1	0	9182
ndcc	N.D.C.C. § 35-07-01	1	0	9195
ndcc	N.D.C.C. § 35-09-01	1	0	9195
ndcc	N.D.C.C. § 35-11-02	1	0	9195
ndcc	N.D.C.C. § 35-08-01	1	0	9195
ndcc	N.D.C.C. ch. 57-35	1	0	9138
ndcc	N.D.C.C. ch. 57-35.2	1	0	9138
ndcc	N.D.C.C. § 57-35-12	1	0	9138
ndcc	N.D.C.C. § 57-35.2-04	1	0	9138
ndcc	N.D.C.C. ch. 57-58	1	0	9138
ndcc	N.D.C.C. § 57-58-01	1	0	9138
ndcc	N.D.C.C. § 19-03.123-3	1	0	9126
ndcc	N.D.C.C. ch. 21-18	1	0	9124
ndcc	N.D.C.C. § 51-02-04	1	0	9158
ndcc	N.D.C.C. § 12.120-03-1	1	0	9148
ndcc	N.D.C.C. § 28-01.106-2	1	0	9097
ndcc	N.D.C.C. § 28-29-05.1	1	0	9090
ndcc	N.D.C.C. § 2-8-27	1	0	9090
ndcc	N.D.C.C. ch. 70-02	1	0	9101
ndcc	N.D.C.C. ch. 26-15	1	0	9099
ndcc	N.D.C.C. ch. 77-18	1	0	9099
ndcc	N.D.C.C. ch. 28-17	1	0	9098
ndcc	N.D.C.C. § 27-07.1-05	1	0	9098
ndcc	N.D.C.C. § 59-02-12	1	0	9033
ndcc	N.D.C.C. § 41-03-76	1	0	9024
ndcc	N.D.C.C. ch. 27-06	1	0	9017
ndcc	N.D.C.C. § 42-04-02.2	1	0	8951
ndcc	N.D.C.C. § 15-47-35	1	0	8907
ndcc	N.D.C.C. § 10-19-10	1	0	8906
ndcc	N.D.C.C. § 15-53.1-42	1	0	8890
ndcc	N.D.C.C. § 15-53.1-32	1	0	8890
ndcc	N.D.C.C. § 25-3.1-27	1	0	8867
ndcc	N.D.C.C. § 25-3.1-17	1	0	8867
ndcc	N.D.C.C. § 29-11-45	1	0	8886
ndcc	N.D.C.C. § 29-01-07.2	1	0	8886
ndcc	N.D.C.C. ch. 75-18	1	0	8847
ndcc	N.D.C.C. § 61-21-15	1	0	8847
ndcc	N.D.C.C. § 61-21-42	1	0	8847
ndcc	N.D.C.C. § 54-42-01	1	0	8846
ndcc	N.D.C.C. § 54-44.3-1.2	1	0	8846
ndcc	N.D.C.C. ch. 4-02	1	0	8846
ndcc	N.D.C.C. § 61-21-33	1	0	8851
ndcc	N.D.C.C. § 61-21-34	1	0	8851
ndcc	N.D.C.C. § 61-21-64	1	0	8851
ndcc	N.D.C.C. § 32-03-07.5	1	0	8850
ndcc	N.D.C.C. § 54-23-01	1	0	8835
ndcc	N.D.C.C. § 20-10-01	1	0	8834
ndcc	N.D.C.C. § 32-29.1-01.1	1	0	8826
ndcc	N.D.C.C. § 27-19-01.7	1	0	8802
ndcc	N.D.C.C. § 10-19-22	1	0	8802
ndcc	N.D.C.C. § 10-19-49	1	0	8802
ndcc	N.D.C.C. § 10-19-09	1	0	8802
ndcc	N.D.C.C. § 10-19-11	1	0	8802
ndcc	N.D.C.C. § 12.1-23-0	1	0	8788
ndcc	N.D.C.C. § 15-36-15	1	0	8781
ndcc	N.D.C.C. § 15-2-6	1	0	8746
ndcc	N.D.C.C. § 15-53.1-19	1	0	8771
ndcc	N.D.C.C. § 15-53.1-18	1	0	8771
ndcc	N.D.C.C. § 15-53.1-05.1	1	0	8771
ndcc	N.D.C.C. § 15-47-21	1	0	8771
ndcc	N.D.C.C. § 15-14.1-01	1	0	8729
ndcc	N.D.C.C. § 27-20-19	1	0	8730
ndcc	N.D.C.C. § 8-2-1	1	0	8750
ndcc	N.D.C.C. § 4-12-03	1	0	8725
ndcc	N.D.C.C. § 4-12-20	1	0	8725
ndcc	N.D.C.C. § 26-41-16	1	0	8703
ndcc	N.D.C.C. § 50-40.1-08	1	0	8703
ndcc	N.D.C.C. § 19-03.101-15	1	0	8713
ndcc	N.D.C.C. § 12-53-20	1	0	8652
ndcc	N.D.C.C. § 29-01-01.1	1	0	8652
ndcc	N.D.C.C. ch. 18-2.3	1	0	8652
ndcc	N.D.C.C. § 59-06.1-10	1	0	8651
ndcc	N.D.C.C. § 19-13.1-07	1	0	8682
ndcc	N.D.C.C. § 19-03-1	1	0	8682
ndcc	N.D.C.C. § 32-09-18	1	0	8641
ndcc	N.D.C.C. § 32-09-20	1	0	8641
ndcc	N.D.C.C. § 56-06-12	1	0	8645
ndcc	N.D.C.C. § 12.1-05-10.3	1	0	8656
ndcc	N.D.C.C. § 29-21-11.19	1	0	8656
ndcc	N.D.C.C. § 11-19-03	1	0	8656
ndcc	N.D.C.C. § 40-50-25	1	0	8610
ndcc	N.D.C.C. § 27-20-17	1	0	8620
ndcc	N.D.C.C. § 19-03.1-3.2	1	0	8611
ndcc	N.D.C.C. § 29-06-1	1	0	8593
ndcc	N.D.C.C. § 61-21-11	1	0	8558
ndcc	N.D.C.C. § 50-22-01.2	1	0	8575
ndcc	N.D.C.C. § 26-03-49	1	0	8542
ndcc	N.D.C.C. § 26-03-41	1	0	8542
ndcc	N.D.C.C. § 26-05-08	1	0	8542
ndcc	N.D.C.C. § 15-53.1-10	1	0	8504
ndcc	N.D.C.C. § 15-53.1-17	1	0	8504
ndcc	N.D.C.C. § 15-53.1-14	1	0	8504
ndcc	N.D.C.C. § 45-08-01	1	0	8497
ndcc	N.D.C.C. § 28-17-02	1	0	8507
ndcc	N.D.C.C. § 57-23.1-03	1	0	8456
ndcc	N.D.C.C. § 12.1-08-05.1	1	0	8467
ndcc	N.D.C.C. ch. 43-02.1	1	0	8416
ndcc	N.D.C.C. § 43-02.1-02	1	0	8416
ndcc	N.D.C.C. § 43-02.1-08	1	0	8416
ndcc	N.D.C.C. § 51-19-09.7	1	0	8412
ndcc	N.D.C.C. § 51-19-13.8	1	0	8412
ndcc	N.D.C.C. § 51-19-03.9	1	0	8412
ndcc	N.D.C.C. § 51-19-12.10	1	0	8412
ndcc	N.D.C.C. § 51-19-12.12	1	0	8412
ndcc	N.D.C.C. § 59-19-12	1	0	8412
ndcc	N.D.C.C. § 15-47-10	1	0	8436
ndcc	N.D.C.C. § 16-20-24	1	0	8436
ndcc	N.D.C.C. § 16-20-04	1	0	8436
ndcc	N.D.C.C. § 16-08-01	1	0	8436
ndcc	N.D.C.C. ch. 16-05	1	0	8436
ndcc	N.D.C.C. § 57-23.2-02	1	0	8425
ndcc	N.D.C.C. § 57-23.1-01	1	0	8425
ndcc	N.D.C.C. § 14-47-38	1	0	8367
ndcc	N.D.C.C. § 14-17-22	1	0	8370
ndcc	N.D.C.C. § 26-06-09	1	0	8348
ndcc	N.D.C.C. § 27-20-09.3	1	0	8347
ndcc	N.D.C.C. § 27-20-09	1	0	8347
ndcc	N.D.C.C. § 57-38-1.2	1	0	8327
ndcc	N.D.C.C. § 57-8-01.2	1	0	8327
ndcc	N.D.C.C. § 57-33-04	1	0	8323
ndcc	N.D.C.C. ch. 57-33.1	1	0	8323
ndcc	N.D.C.C. § 57-33.1-02	1	0	8323
ndcc	N.D.C.C. ch. 32-39.1	1	0	8266
ndcc	N.D.C.C. § 39-26-04	1	0	8279
ndcc	N.D.C.C. § 50-09-14.5	1	0	8283
ndcc	N.D.C.C. § 56-04-23	1	0	8259
ndcc	N.D.C.C. § 30-26-08	1	0	8259
ndcc	N.D.C.C. § 20-3-16	1	0	8281
ndcc	N.D.C.C. § 21-1-4	1	0	8281
ndcc	N.D.C.C. § 12-41-10.7	1	0	8254
ndcc	N.D.C.C. § 12-12.1-05	1	0	8254
ndcc	N.D.C.C. § 12-44-04	1	0	8252
ndcc	N.D.C.C. § 12-44-16	1	0	8252
ndcc	N.D.C.C. ch. 12-54	1	0	8234
ndcc	N.D.C.C. § 13-46-6	1	0	8256
ndcc	N.D.C.C. § 1-26-36	1	0	8256
ndcc	N.D.C.C. § 27-20-51	1	0	8251
ndcc	N.D.C.C. § 27-28-02	1	0	8250
ndcc	N.D.C.C. § 15-34.1-02	1	0	8231
ndcc	N.D.C.C. § 49-18-26	1	0	8230
ndcc	N.D.C.C. § 45-09-03	1	0	8191
ndcc	N.D.C.C. § 45-09-01	1	0	8191
ndcc	N.D.C.C. § 45-09-08	1	0	8191
ndcc	N.D.C.C. § 30-21-09.2	1	0	8200
ndcc	N.D.C.C. § 41-09-46.2	1	0	8165
ndcc	N.D.C.C. § 10-19-48	1	0	8157
ndcc	N.D.C.C. § 32-29.1-03	1	0	8142
ndcc	N.D.C.C. § 26-03.1-04	1	0	8125
ndcc	N.D.C.C. § 56-02-11	1	0	8138
ndcc	N.D.C.C. § 16-01-11.1	1	0	8132
ndcc	N.D.C.C. ch. 54-27.1	1	0	8113
ndcc	N.D.C.C. § 29-15-2	1	0	8111
ndcc	N.D.C.C. § 26-41-05	1	0	8092
ndcc	N.D.C.C. ch. 26-03	1	0	8104
ndcc	N.D.C.C. § 26-41-09	1	0	8097
ndcc	N.D.C.C. § 26-01-16	1	0	8117
ndcc	N.D.C.C. ch. 26-07	1	0	8117
ndcc	N.D.C.C. ch. 26-09	1	0	8117
ndcc	N.D.C.C. § 26-07-10	1	0	8117
ndcc	N.D.C.C. § 26-07-11	1	0	8117
ndcc	N.D.C.C. § 26-05-03	1	0	8117
ndcc	N.D.C.C. § 26-07-15	1	0	8117
ndcc	N.D.C.C. ch. 26-20	1	0	8117
ndcc	N.D.C.C. § 26-07-04	1	0	8117
ndcc	N.D.C.C. § 26-08-11	1	0	8117
ndcc	N.D.C.C. § 26-08-12	1	0	8117
ndcc	N.D.C.C. § 26-08-13	1	0	8117
ndcc	N.D.C.C. § 26-10.1-01	1	0	8117
ndcc	N.D.C.C. § 26-12-27	1	0	8117
ndcc	N.D.C.C. § 15-25-07	1	0	8109
ndcc	N.D.C.C. ch. 25-09	1	0	8076
ndcc	N.D.C.C. § 25-09-05	1	0	8076
ndcc	N.D.C.C. § 25-09-06	1	0	8076
ndcc	N.D.C.C. § 59-03-06	1	0	8073
ndcc	N.D.C.C. § 59-03-02	1	0	8073
ndcc	N.D.C.C. § 59-04-15	1	0	8073
ndcc	N.D.C.C. § 27-08-42	1	0	8071
ndcc	N.D.C.C. ch. 14-0	1	0	8061
ndcc	N.D.C.C. § 12-27-08	1	0	8065
ndcc	N.D.C.C. § 60-03-04	1	0	8055
ndcc	N.D.C.C. § 15-4-7	1	0	8101
ndcc	N.D.C.C. § 49-18-08	1	0	8083
ndcc	N.D.C.C. § 49-18-02	1	0	8083
ndcc	N.D.C.C. § 16-20-01.1	1	0	8020
ndcc	N.D.C.C. ch. 38-1	1	0	8019
ndcc	N.D.C.C. ch. 4-30	1	0	8003
ndcc	N.D.C.C. § 4-30-03	1	0	8003
ndcc	N.D.C.C. § 4-30-07	1	0	8003
ndcc	N.D.C.C. § 4-30-09	1	0	8003
ndcc	N.D.C.C. § 4-30-06	1	0	8003
ndcc	N.D.C.C. § 4-30-02	1	0	8003
ndcc	N.D.C.C. § 4-30-04	1	0	8003
ndcc	N.D.C.C. § 26-28-18	1	0	8008
ndcc	N.D.C.C. § 26-28-01	1	0	8008
ndcc	N.D.C.C. § 26-28-04	1	0	8008
ndcc	N.D.C.C. § 26-28-05	1	0	8008
ndcc	N.D.C.C. § 15-38.1-11.1	1	0	7984
ndcc	N.D.C.C. ch. 15-59.1	1	0	7984
ndcc	N.D.C.C. ch. 45-02	1	0	7968
ndcc	N.D.C.C. ch. 51-01.1	1	0	7976
ndcc	N.D.C.C. § 12-30-11	1	0	7972
ndcc	N.D.C.C. § 28-04-3.1	1	0	7942
ndcc	N.D.C.C. § 16-11-16	1	0	7959
ndcc	N.D.C.C. § 16-10-17	1	0	7959
ndcc	N.D.C.C. § 11-16-01.7	1	0	7932
ndcc	N.D.C.C. § 27-14-02.7	1	0	7932
ndcc	N.D.C.C. ch. 21-28	1	0	7919
ndcc	N.D.C.C. § 14-14-23	1	0	7925
ndcc	N.D.C.C. § 38-14-03	1	0	7886
ndcc	N.D.C.C. ch. 38-14	1	0	7886
ndcc	N.D.C.C. § 40-58-15.11	1	0	7897
ndcc	N.D.C.C. § 19-18-04	1	0	7882
ndcc	N.D.C.C. § 4-35-12	1	0	7882
ndcc	N.D.C.C. § 26-40.1-02	1	0	7909
ndcc	N.D.C.C. § 26-40.1-03	1	0	7909
ndcc	N.D.C.C. § 26-40.1-04	1	0	7909
ndcc	N.D.C.C. § 26-40.1-05	1	0	7909
ndcc	N.D.C.C. § 26-40.1-06	1	0	7909
ndcc	N.D.C.C. § 26-40.1-07	1	0	7909
ndcc	N.D.C.C. § 26-40.1-08	1	0	7909
ndcc	N.D.C.C. § 26-40.1-09	1	0	7909
ndcc	N.D.C.C. § 26-40.1-10	1	0	7909
ndcc	N.D.C.C. § 26-40.1-11	1	0	7909
ndcc	N.D.C.C. § 26-40.1-12	1	0	7909
ndcc	N.D.C.C. § 26-40.1-13	1	0	7909
ndcc	N.D.C.C. § 26-40.1-14	1	0	7909
ndcc	N.D.C.C. § 26-40.1-15	1	0	7909
ndcc	N.D.C.C. § 26-40.1-16	1	0	7909
ndcc	N.D.C.C. § 26-40.1-17	1	0	7909
ndcc	N.D.C.C. § 26-40.1-18	1	0	7909
ndcc	N.D.C.C. § 32-36-21	1	0	7890
ndcc	N.D.C.C. § 23-4-2	1	0	7881
ndcc	N.D.C.C. § 49-13-22	1	0	7829
ndcc	N.D.C.C. § 15-53.1-27	1	0	7810
ndcc	N.D.C.C. ch. 57-52	1	0	7790
ndcc	N.D.C.C. ch. 57-53	1	0	7790
ndcc	N.D.C.C. ch. 57-54	1	0	7790
ndcc	N.D.C.C. § 57-50-05.1	1	0	7790
ndcc	N.D.C.C. § 57-52-04	1	0	7790
ndcc	N.D.C.C. § 57-54-03	1	0	7790
ndcc	N.D.C.C. ch. 1-19	1	0	7775
ndcc	N.D.C.C. § 58-38-01.1	1	0	7743
ndcc	N.D.C.C. § 12-1-22	1	0	7721
ndcc	N.D.C.C. § 12-44-29	1	0	7757
ndcc	N.D.C.C. § 12-44-33	1	0	7711
ndcc	N.D.C.C. § 13-02-06	1	0	7705
ndcc	N.D.C.C. § 32-36-01	1	0	7714
ndcc	N.D.C.C. ch. 55-18	1	0	7691
ndcc	N.D.C.C. § 15-34.2-16	1	0	7678
ndcc	N.D.C.C. § 15-40.1-16	1	0	7678
ndcc	N.D.C.C. § 15-34-03	1	0	7678
ndcc	N.D.C.C. § 15-34-07	1	0	7678
ndcc	N.D.C.C. § 15-34-24	1	0	7678
ndcc	N.D.C.C. § 39-17-05	1	0	7662
ndcc	N.D.C.C. § 26-02-16	1	0	7679
ndcc	N.D.C.C. § 23.1-23-02	1	0	7652
ndcc	N.D.C.C. § 12-55-3	1	0	7633
ndcc	N.D.C.C. § 15-40.1-04	1	0	7625
ndcc	N.D.C.C. § 26-10-08	1	0	7616
ndcc	N.D.C.C. § 26-02-03	1	0	7616
ndcc	N.D.C.C. § 26-02-19	1	0	7616
ndcc	N.D.C.C. § 26-02-21	1	0	7616
ndcc	N.D.C.C. § 65-13-09	1	0	7597
ndcc	N.D.C.C. § 65-13-04	1	0	7597
ndcc	N.D.C.C. § 65-13-03	1	0	7597
ndcc	N.D.C.C. § 65-13-02	1	0	7597
ndcc	N.D.C.C. § 16-13-16	1	0	7614
ndcc	N.D.C.C. § 16-13-36	1	0	7614
ndcc	N.D.C.C. ch. 16-13	1	0	7614
ndcc	N.D.C.C. § 16-13-48	1	0	7614
ndcc	N.D.C.C. § 16-13-27	1	0	7614
ndcc	N.D.C.C. § 16-13-13	1	0	7614
ndcc	N.D.C.C. § 16-13-38	1	0	7614
ndcc	N.D.C.C. ch. 23-02	1	0	7583
ndcc	N.D.C.C. § 12-05-04	1	0	7576
ndcc	N.D.C.C. § 59-01-13	1	0	7557
ndcc	N.D.C.C. § 59-01-14	1	0	7557
ndcc	N.D.C.C. § 59-02-05	1	0	7557
ndcc	N.D.C.C. ch. 3-59	1	0	7557
ndcc	N.D.C.C. § 9-17-10	1	0	7539
ndcc	N.D.C.C. § 39-15-02	1	0	7536
ndcc	N.D.C.C. ch. 10-18	1	0	7535
ndcc	N.D.C.C. § 15-38-01	1	0	7515
ndcc	N.D.C.C. § 6-07-33	1	0	7503
ndcc	N.D.C.C. § 57-37-21	1	0	7477
ndcc	N.D.C.C. § 57-37-22	1	0	7477
ndcc	N.D.C.C. ch. 3-9	1	0	7479
ndcc	N.D.C.C. § 15-7-2	1	0	7456
ndcc	N.D.C.C. § 15-49-02	1	0	7445
ndcc	N.D.C.C. § 15-41-27	1	0	7439
ndcc	N.D.C.C. § 15-38.1-07	1	0	7439
ndcc	N.D.C.C. § 47-10-24.7	1	0	7441
ndcc	N.D.C.C. ch. 30-17	1	0	7425
ndcc	N.D.C.C. ch. 56-01	1	0	7425
ndcc	N.D.C.C. § 30-17-02	1	0	7425
ndcc	N.D.C.C. § 25-03-21	1	0	7396
ndcc	N.D.C.C. § 29-2.1-06	1	0	7416
ndcc	N.D.C.C. § 12-26-01	1	0	7363
ndcc	N.D.C.C. § 15-60-04	1	0	7359
ndcc	N.D.C.C. ch. 15-60	1	0	7359
ndcc	N.D.C.C. ch. 15-48	1	0	7359
ndcc	N.D.C.C. § 15-53-32	1	0	7359
ndcc	N.D.C.C. § 15-60-01	1	0	7359
ndcc	N.D.C.C. § 15-21-17	1	0	7359
ndcc	N.D.C.C. § 15-48-04	1	0	7359
ndcc	N.D.C.C. § 15-60-03	1	0	7359
ndcc	N.D.C.C. § 39-17-03.1	1	0	7367
ndcc	N.D.C.C. § 39-17-01	1	0	7367
ndcc	N.D.C.C. § 57-16-06	1	0	7375
ndcc	N.D.C.C. § 60-02-18	1	0	7346
ndcc	N.D.C.C. § 12-26-10	1	0	7340
ndcc	N.D.C.C. § 26-17-01.12	1	0	7325
ndcc	N.D.C.C. § 26-17-01.13	1	0	7325
ndcc	N.D.C.C. § 26-17-05	1	0	7325
ndcc	N.D.C.C. ch. 50-18	1	0	7306
ndcc	N.D.C.C. § 30-21.1-03	1	0	7291
ndcc	N.D.C.C. ch. 30-21.1	1	0	7291
ndcc	N.D.C.C. ch. 37-25	1	0	7284
ndcc	N.D.C.C. § 37-25-02	1	0	7284
ndcc	N.D.C.C. § 37-25-01	1	0	7284
ndcc	N.D.C.C. § 37-25-08	1	0	7284
ndcc	N.D.C.C. § 37-25-03	1	0	7284
ndcc	N.D.C.C. § 37-25-04	1	0	7284
ndcc	N.D.C.C. § 35-02-04	1	0	7323
ndcc	N.D.C.C. § 11-17-01	1	0	7316
ndcc	N.D.C.C. § 50-24-15	1	0	7316
ndcc	N.D.C.C. § 12-16-09	1	0	7317
ndcc	N.D.C.C. ch. 15-59	1	0	7275
ndcc	N.D.C.C. § 15-59-07	1	0	7275
ndcc	N.D.C.C. § 45-09-13	1	0	7251
ndcc	N.D.C.C. § 30-13-18	1	0	7247
ndcc	N.D.C.C. § 12-01-03	1	0	7240
ndcc	N.D.C.C. § 23-17.2-04	1	0	7229
ndcc	N.D.C.C. § 23-17.2-01	1	0	7229
ndcc	N.D.C.C. § 12-27-19	1	0	7227
ndcc	N.D.C.C. § 12-30-03	1	0	7215
ndcc	N.D.C.C. § 15-34.2-10	1	0	7213
ndcc	N.D.C.C. § 24-14-04	1	0	7211
ndcc	N.D.C.C. § 24-14-12	1	0	7211
ndcc	N.D.C.C. § 29-14-13	1	0	7211
ndcc	N.D.C.C. § 16-18-05	1	0	7199
ndcc	N.D.C.C. § 16-12-10	1	0	7199
ndcc	N.D.C.C. § 30-06-03	1	0	7196
ndcc	N.D.C.C. § 30-13-17	1	0	7193
ndcc	N.D.C.C. § 30-15-01	1	0	7193
ndcc	N.D.C.C. § 56-05-08	1	0	7236
ndcc	N.D.C.C. § 30-26-10	1	0	7235
ndcc	N.D.C.C. § 29-20-04	1	0	7156
ndcc	N.D.C.C. § 12-53-17	1	0	7174
ndcc	N.D.C.C. § 12-53-16	1	0	7174
ndcc	N.D.C.C. § 27-18-01	1	0	7163
ndcc	N.D.C.C. § 27-18-02	1	0	7163
ndcc	N.D.C.C. § 27-18-06	1	0	7163
ndcc	N.D.C.C. ch. 19-03.11	1	0	7146
ndcc	N.D.C.C. § 19-03-28	1	0	7146
ndcc	N.D.C.C. § 32-29-09	1	0	7155
ndcc	N.D.C.C. § 32-29-11	1	0	7155
ndcc	N.D.C.C. § 32-29-13	1	0	7155
ndcc	N.D.C.C. § 32-29-14	1	0	7155
ndcc	N.D.C.C. § 15-29-02	1	0	7153
ndcc	N.D.C.C. § 16-15-03	1	0	7138
ndcc	N.D.C.C. ch. 16-04	1	0	7138
ndcc	N.D.C.C. § 16-04-30	1	0	7138
ndcc	N.D.C.C. § 16-04-31	1	0	7138
ndcc	N.D.C.C. § 16-04-33	1	0	7138
ndcc	N.D.C.C. § 16-06-01	1	0	7138
ndcc	N.D.C.C. § 16-04-32	1	0	7138
ndcc	N.D.C.C. § 16-18-06	1	0	7138
ndcc	N.D.C.C. § 16-18-01	1	0	7138
ndcc	N.D.C.C. § 16-04-03	1	0	7138
ndcc	N.D.C.C. § 48-02-07	1	0	7127
ndcc	N.D.C.C. § 48-02-13	1	0	7127
ndcc	N.D.C.C. § 48-01-02	1	0	7127
ndcc	N.D.C.C. § 20-01-02	1	0	7114
ndcc	N.D.C.C. § 35-12-06	1	0	7084
ndcc	N.D.C.C. § 53-9-4	1	0	7121
ndcc	N.D.C.C. § 53-9-5	1	0	7121
ndcc	N.D.C.C. § 45-05-06	1	0	7102
ndcc	N.D.C.C. § 26-03-30	1	0	7115
ndcc	N.D.C.C. § 29-24-11	1	0	7068
ndcc	N.D.C.C. § 12-27-12	1	0	7073
ndcc	N.D.C.C. § 12-30-04	1	0	7073
ndcc	N.D.C.C. § 12-27-28	1	0	7073
ndcc	N.D.C.C. ch. 14-12	1	0	7053
ndcc	N.D.C.C. § 14-12.1-20	1	0	7053
ndcc	N.D.C.C. § 14-12.1-23	1	0	7053
ndcc	N.D.C.C. § 12-41-14	1	0	7056
ndcc	N.D.C.C. ch. 39-14	1	0	7008
ndcc	N.D.C.C. § 10-19-05	1	0	7007
ndcc	N.D.C.C. § 26-09-15	1	0	7027
ndcc	N.D.C.C. § 26-09-07	1	0	7027
ndcc	N.D.C.C. ch. 26-12	1	0	7027
ndcc	N.D.C.C. § 26-12-49	1	0	7027
ndcc	N.D.C.C. § 40-51.1-01	1	0	7030
ndcc	N.D.C.C. § 26-02-14	1	0	7003
ndcc	N.D.C.C. § 50-25-01	1	0	6997
ndcc	N.D.C.C. § 27-20-10	1	0	6997
ndcc	N.D.C.C. § 50-25-05	1	0	6997
ndcc	N.D.C.C. § 10-19-54	1	0	7016
ndcc	N.D.C.C. § 10-23-12	1	0	7016
ndcc	N.D.C.C. § 10-06-02	1	0	7016
ndcc	N.D.C.C. § 10-06-05	1	0	7016
ndcc	N.D.C.C. ch. 12-26	1	0	7001
ndcc	N.D.C.C. § 10-18-07	1	0	6972
ndcc	N.D.C.C. § 10-19-47	1	0	6965
ndcc	N.D.C.C. § 27-20-42	1	0	6967
ndcc	N.D.C.C. § 12-38-04	1	0	7029
ndcc	N.D.C.C. § 12-36-10	1	0	7029
ndcc	N.D.C.C. § 14-11-10	1	0	6956
ndcc	N.D.C.C. § 15-53-19	1	0	6949
ndcc	N.D.C.C. § 15-53-33	1	0	6949
ndcc	N.D.C.C. § 15-53-01	1	0	6949
ndcc	N.D.C.C. ch. 32.04-2	1	0	6934
ndcc	N.D.C.C. ch. 4-13	1	0	6955
ndcc	N.D.C.C. § 4-13-10	1	0	6955
ndcc	N.D.C.C. § 4-13-03	1	0	6955
ndcc	N.D.C.C. § 20-9-2	1	0	6918
ndcc	N.D.C.C. § 56-04-01	1	0	6924
ndcc	N.D.C.C. § 56-04-03	1	0	6924
ndcc	N.D.C.C. ch. 28-06.1	1	0	6938
ndcc	N.D.C.C. § 29-10-25	1	0	6912
ndcc	N.D.C.C. § 29-09-09	1	0	6912
ndcc	N.D.C.C. § 29-10-18	1	0	6912
ndcc	N.D.C.C. § 29-10-19	1	0	6912
ndcc	N.D.C.C. ch. 14-12.11	1	0	6908
ndcc	N.D.C.C. § 10-20-08	1	0	6925
ndcc	N.D.C.C. § 10-19-30	1	0	6925
ndcc	N.D.C.C. § 10-19-33	1	0	6925
ndcc	N.D.C.C. ch. 76-15	1	0	6925
ndcc	N.D.C.C. § 26-02-35	1	0	6916
ndcc	N.D.C.C. § 35-23-13	1	0	6911
ndcc	N.D.C.C. § 15-27-04	1	0	6917
ndcc	N.D.C.C. § 15-27-07	1	0	6917
ndcc	N.D.C.C. § 15-47-19	1	0	6917
ndcc	N.D.C.C. § 15-53-03	1	0	6917
ndcc	N.D.C.C. § 30-20-04	1	0	6894
ndcc	N.D.C.C. § 10-10-11	1	0	6898
ndcc	N.D.C.C. § 12-21-29	1	0	6898
ndcc	N.D.C.C. § 10-28-18	1	0	6898
ndcc	N.D.C.C. ch. 29-13	1	0	6904
ndcc	N.D.C.C. § 29-14-20	1	0	6904
ndcc	N.D.C.C. § 29-14-23	1	0	6904
ndcc	N.D.C.C. § 29-14-18	1	0	6904
ndcc	N.D.C.C. § 29-24-01	1	0	6904
ndcc	N.D.C.C. § 12-17-19	1	0	6896
ndcc	N.D.C.C. § 16-01-15	1	0	6874
ndcc	N.D.C.C. § 15-28-02	1	0	6931
ndcc	N.D.C.C. § 15-47-06	1	0	6931
ndcc	N.D.C.C. § 1.5-28-02	1	0	6931
ndcc	N.D.C.C. § 27-08-31	1	0	6888
ndcc	N.D.C.C. § 27-07-19	1	0	6850
ndcc	N.D.C.C. § 27-07-20	1	0	6850
ndcc	N.D.C.C. § 29-30-04	1	0	6860
ndcc	N.D.C.C. § 29-30-05	1	0	6860
ndcc	N.D.C.C. § 29-30-11	1	0	6860
ndcc	N.D.C.C. ch. 12-21.1	1	0	6853
ndcc	N.D.C.C. § 12-21.1-03	1	0	6853
ndcc	N.D.C.C. § 12-21.1-0.4	1	0	6853
ndcc	N.D.C.C. § 27-08-18	1	0	6829
ndcc	N.D.C.C. § 27-06-04	1	0	6829
