opinion_id	field	garbled_token	nearest_roster	edit_distance
1123	judges	Eisk	fisk	1
1124	judges	Bubke	burke	1
1125	judges	Bbuce	bruce	1
1126	judges	Bueke	burke	1
1134	judges	Bueke	burke	1
1135	judges	Bueke	burke	1
1139	judges	Bueke	burke	1
1143	judges	Spauding	spalding	1
1145	judges	Buuke	burke	1
1151	judges	Burice	bruce	2
1160	judges	Purke	burke	1
1198	judges	Disk	fisk	1
1198	judges	Eisk	fisk	1
1225	judges	Bruoe	bruce	1
1226	judges	Eisk	fisk	1
1230	judges	Eisk	fisk	1
1255	judges	Eisk	fisk	1
1258	judges	Beuce	bruce	1
1262	judges	Beuce	bruce	1
1263	judges	Bsuce	bruce	1
1273	judges	Gross	goss	1
1280	judges	Eisk	fisk	1
1286	judges	Bukke	burke	1
1293	judges	Spauding	spalding	1
1294	judges	Fise	fisk	1
1299	judges	Bukke	burke	1
1300	judges	Burjie	burke	2
1301	judges	Bbuce	bruce	1
1301	judges	Bkuce	bruce	1
1303	judges	Eisk	fisk	1
1305	judges	Bbuce	bruce	1
1310	judges	Bbuce	bruce	1
1315	judges	Beuce	bruce	1
1318	judges	Bueke	burke	1
1331	judges	Eisk	fisk	1
1343	judges	Eisk	fisk	1
1352	judges	Burice	bruce	2
1354	judges	Burk	burke	1
1365	judges	Eisk	fisk	1
1369	judges	Eisk	fisk	1
1411	judges	Bubke	burke	1
1426	judges	Eisk	fisk	1
1431	judges	Eisk	fisk	1
1446	judges	Bubke	burke	1
1447	judges	Eisk	fisk	1
1450	judges	Pisk	fisk	1
1490	judges	Burice	bruce	2
1504	judges	Eisk	fisk	1
1535	judges	Gross	goss	1
1567	judges	Burice	bruce	2
1585	judges	Bisk	fisk	1
1603	judges	Eisk	fisk	1
1606	judges	Bisk	fisk	1
1607	judges	Eisk	fisk	1
1612	judges	Risk	fisk	1
1615	judges	Disk	fisk	1
1683	judges	Bbuce	bruce	1
1829	judges	Purr	burr	1
1848	judges	Xrace	grace	1
1862	judges	Bbuce	bruce	1
1934	judges	Eisk	fisk	1
1993	judges	Gbace	grace	1
1997	judges	Geace	grace	1
2000	judges	Guace	grace	1
2012	judges	Beuce	bruce	1
2023	judges	Bbuce	bruce	1
2026	judges	Guace	grace	1
2032	judges	Guace	grace	1
2044	judges	Guace	grace	1
2047	judges	Guace	grace	1
2050	judges	Guace	grace	1
2066	judges	Geace	grace	1
2068	judges	Gbace	grace	1
2078	judges	Geace	grace	1
2115	judges	Grade	grace	1
2126	judges	Beuce	bruce	1
2141	judges	Race	grace	1
2174	judges	Geace	grace	1
2211	judges	Trace	grace	1
2275	judges	Crace	grace	1
2328	judges	Trace	grace	1
2376	judges	Xrace	grace	1
2411	judges	Guace	grace	1
2497	judges	Gkace	grace	1
2518	judges	Gbace	grace	1
2532	judges	Geace	grace	1
2548	judges	Gkace	grace	1
2567	judges	Geace	grace	1
2592	judges	Geace	grace	1
2614	judges	Geace	grace	1
2629	judges	Grac	grace	1
2630	judges	Gbace	grace	1
2636	judges	Guace	grace	1
2654	judges	Grac	grace	1
2673	judges	Gracb	grace	1
2706	judges	Geace	grace	1
2707	judges	Geace	grace	1
2712	judges	Gbace	grace	1
2714	judges	Guace	grace	1
2719	judges	Guace	grace	1
2721	judges	Geace	grace	1
2724	judges	Guace	grace	1
2725	judges	Guace	grace	1
2729	judges	Guace	grace	1
2732	judges	Guace	grace	1
2735	judges	Geace	grace	1
2741	judges	Guace	grace	1
2742	judges	Guace	grace	1
2743	judges	Guace	grace	1
2745	judges	Guace	grace	1
2746	judges	Guace	grace	1
2748	judges	Geace	grace	1
2751	judges	Geace	grace	1
2752	judges	Race	grace	1
2755	judges	Geace	grace	1
2756	judges	Geace	grace	1
2757	judges	Trace	grace	1
2758	judges	Geace	grace	1
2760	judges	Guace	grace	1
2761	judges	Guace	grace	1
2762	judges	Gbace	grace	1
2763	judges	Geace	grace	1
2766	judges	Geace	grace	1
2771	judges	Geace	grace	1
2772	judges	Guace	grace	1
2779	judges	Geace	grace	1
2791	judges	Guace	grace	1
2795	judges	Joiinson	johnson	2
2811	judges	Bukr	burr	1
2816	judges	Joiinson	johnson	2
2819	judges	Guace	grace	1
2821	judges	Buer	burr	1
2824	judges	Joiinson	johnson	2
2825	judges	Geace	grace	1
2825	judges	Joiinson	johnson	2
2830	judges	Joiinson	johnson	2
2835	judges	Joiinson	johnson	2
2846	judges	Joiinson	johnson	2
2860	judges	Durr	burr	1
2965	judges	Joimson	grimson	2
3066	judges	Joiinson	johnson	2
3072	judges	Joiinson	johnson	2
3076	judges	JoiinsoN	johnson	2
3086	judges	Joiinson	johnson	2
3091	judges	Joiinson	johnson	2
3093	judges	Bueke	burke	1
3094	judges	Jorinson	johnson	2
3099	judges	Burice	bruce	2
3102	judges	JoiinsoN	johnson	2
3111	judges	Joiinson	johnson	2
3114	judges	Buree	burke	1
3114	judges	JoiiNsoN	johnson	2
3120	judges	Burxe	burke	1
3122	judges	Bukke	burke	1
3123	judges	Joiinson	johnson	2
3126	judges	Bujkke	burke	2
3127	judges	Joiinson	johnson	2
3133	judges	Burice	bruce	2
3137	judges	Joiinson	johnson	2
3139	judges	Bukke	burke	1
3146	judges	Burkb	burke	1
3149	judges	JoiiNsoN	johnson	2
3150	judges	JoiiNsoN	johnson	2
3152	judges	Buree	burke	1
3153	judges	Buree	burke	1
3156	judges	Bueke	burke	1
3160	judges	Bueke	burke	1
3167	judges	Bueke	burke	1
3167	judges	Joiinson	johnson	2
3170	judges	Buree	burke	1
3171	judges	Bubke	burke	1
3174	judges	Buree	burke	1
3175	judges	JoiiNsoN	johnson	2
3178	judges	Joiinson	johnson	2
3178	judges	Bueke	burke	1
3181	judges	Bueke	burke	1
3185	judges	Joiinson	johnson	2
3186	judges	Buree	burke	1
3188	judges	Bueke	burke	1
3190	judges	Bubke	burke	1
3193	judges	Joiinson	johnson	2
3195	judges	Burice	bruce	2
3196	judges	Bubke	burke	1
3198	judges	Buree	burke	1
3199	judges	Buree	burke	1
3202	judges	Buree	burke	1
3204	judges	Joiinson	johnson	2
3205	judges	Buree	burke	1
3206	judges	Buree	burke	1
3207	judges	Buree	burke	1
3209	judges	Joiinson	johnson	2
3212	judges	JoiiNSON	johnson	2
3213	judges	Joiinson	johnson	2
3213	judges	Buree	burke	1
3214	judges	Buree	burke	1
3215	judges	Joiinson	johnson	2
3216	judges	Bukke	burke	1
3218	judges	Burhe	burke	1
3220	judges	Buree	burke	1
3222	judges	Bueke	burke	1
3224	judges	Buree	burke	1
3229	judges	Joiinson	johnson	2
3230	judges	Bukke	burke	1
3232	judges	Burice	bruce	2
3234	judges	Joiinson	johnson	2
3239	judges	Burice	bruce	2
3240	judges	Buree	burke	1
3241	judges	Burice	bruce	2
3245	judges	Buree	burke	1
3248	judges	Bukke	burke	1
3250	judges	Buree	burke	1
3251	judges	Burice	bruce	2
3252	judges	Burice	bruce	2
3253	judges	Buricr	burr	2
3254	judges	Burile	burke	2
3255	judges	Buree	burke	1
3260	judges	Burice	bruce	2
3263	judges	Buree	burke	1
3266	judges	Bueke	burke	1
3269	judges	Burre	burke	1
3272	judges	Buree	burke	1
3273	judges	Burice	bruce	2
3275	judges	Bubke	burke	1
3275	judges	Joiinson	johnson	2
3276	judges	Buree	burke	1
3277	judges	Buree	burke	1
3279	judges	Bukke	burke	1
3280	judges	Burile	burke	2
3283	judges	Buree	burke	1
3287	judges	Burhe	burke	1
3290	judges	Bukke	burke	1
3291	judges	Burice	bruce	2
3293	judges	Burice	bruce	2
3296	judges	Buree	burke	1
3297	judges	Buree	burke	1
3298	judges	Buree	burke	1
3302	judges	Buree	burke	1
3303	judges	Buree	burke	1
3304	judges	Buree	burke	1
3305	judges	JoiiNSON	johnson	2
3308	judges	Buree	burke	1
3309	judges	Buree	burke	1
3319	judges	Buree	burke	1
3320	judges	Buree	burke	1
3321	judges	Buree	burke	1
3322	judges	Burice	bruce	2
3323	judges	Bukke	burke	1
3324	judges	Buree	burke	1
3326	judges	Buree	burke	1
3327	judges	Buree	burke	1
3330	judges	Buree	burke	1
3332	judges	Buree	burke	1
3333	judges	Buree	burke	1
3336	judges	Buree	burke	1
3350	judges	Joiinson	johnson	2
3363	judges	Bubke	burke	1
3456	judges	Bure	burke	1
3463	judges	Burice	bruce	2
3467	judges	Burice	bruce	2
3470	judges	Burice	bruce	2
3484	judges	Burice	bruce	2
3490	judges	Burice	bruce	2
