opinion_id	cite	status	kind	fn_count	note
310	16 N.D. 199	NO_FOOTNOTES		0	
311	16 N.D. 214	NO_FOOTNOTES		0	
312	16 N.D. 227	NO_FOOTNOTES		0	
313	16 N.D. 231	NO_FOOTNOTES		0	
314	16 N.D. 234	NO_FOOTNOTES		0	
315	16 N.D. 277	NO_FOOTNOTES		0	
316	16 N.D. 377	NO_FOOTNOTES		0	
317	16 N.D. 546	NO_FOOTNOTES		0	
318	16 N.D. 248	NO_FOOTNOTES		0	
319	16 N.D. 452	NO_FOOTNOTES		0	
320	16 N.D. 555	MISSING	numbered	1	1  Rehearing pending.
321	17 N.D. 1	NO_FOOTNOTES		0	
322	16 N.D. 601	NO_FOOTNOTES		0	
323	16 N.D. 551	NO_FOOTNOTES		0	
324	16 N.D. 387	NO_FOOTNOTES		0	
325	16 N.D. 363	NO_FOOTNOTES		0	
326	16 N.D. 347	NO_FOOTNOTES		0	
327	16 N.D. 426	MISSING	numbered	1	1  13 Am. Rep. 492.
328	16 N.D. 313	NO_FOOTNOTES		0	
329	16 N.D. 335	NO_FOOTNOTES		0	
330	16 N.D. 256	NO_FOOTNOTES		0	
331	16 N.D. 323	NO_FOOTNOTES		0	
332	16 N.D. 341	NO_FOOTNOTES		0	
333	16 N.D. 355	NO_FOOTNOTES		0	
334	16 N.D. 359	NO_FOOTNOTES		0	
335	16 N.D. 581	NO_FOOTNOTES		0	
336	16 N.D. 569	NO_FOOTNOTES		0	
337	16 N.D. 290	NO_FOOTNOTES		0	
338	16 N.D. 281	NO_FOOTNOTES		0	
339	16 N.D. 269	NO_FOOTNOTES		0	
340	17 N.D. 76	NO_FOOTNOTES		0	
341	17 N.D. 110	NO_FOOTNOTES		0	
342	17 N.D. 102	NO_FOOTNOTES		0	
343	17 N.D. 119	NO_FOOTNOTES		0	
344	16 N.D. 408	NO_FOOTNOTES		0	
345	16 N.D. 403	NO_FOOTNOTES		0	
346	16 N.D. 398	NO_FOOTNOTES		0	
347	16 N.D. 457	NO_FOOTNOTES		0	
348	17 N.D. 16	NO_FOOTNOTES		0	
349	17 N.D. 21	NO_FOOTNOTES		0	
350	16 N.D. 462	NO_FOOTNOTES		0	
351	17 N.D. 140	NO_FOOTNOTES		0	
352	16 N.D. 595	NO_FOOTNOTES		0	
353	17 N.D. 135	NO_FOOTNOTES		0	
354	17 N.D. 128	NO_FOOTNOTES		0	
355	16 N.D. 561	NO_FOOTNOTES		0	
356	17 N.D. 13	NO_FOOTNOTES		0	
357	17 N.D. 23	NO_FOOTNOTES		0	
358	17 N.D. 31	NO_FOOTNOTES		0	
359	16 N.D. 446	NO_FOOTNOTES		0	
360	17 N.D. 145	NO_FOOTNOTES		0	
361	17 N.D. 84	NO_FOOTNOTES		0	
362	17 N.D. 67	NO_FOOTNOTES		0	
363	17 N.D. 5	NO_FOOTNOTES		0	
364	16 N.D. 470	MISSING	numbered	1	1  21 N. E. 252, 4 L. R. A. 79.
365	16 N.D. 420	NO_FOOTNOTES		0	
366	17 N.D. 99	NO_FOOTNOTES		0	
367	17 N.D. 91	NO_FOOTNOTES		0	
368	17 N.D. 154	NO_FOOTNOTES		0	
369	17 N.D. 161	NO_FOOTNOTES		0	
370	17 N.D. 166	NO_FOOTNOTES		0	
371	18 N.D. 45	NO_FOOTNOTES		0	
372	17 N.D. 178	NO_FOOTNOTES		0	
373	17 N.D. 191	NO_FOOTNOTES		0	
374	17 N.D. 173	NO_FOOTNOTES		0	
375	17 N.D. 195	NO_FOOTNOTES		0	
376	17 N.D. 184	NO_FOOTNOTES		0	
377	17 N.D. 285	NO_FOOTNOTES		0	
378	17 N.D. 203	NO_FOOTNOTES		0	
379	17 N.D. 120	NO_FOOTNOTES		0	
380	17 N.D. 104	NO_FOOTNOTES		0	
381	17 N.D. 40	NO_FOOTNOTES		0	
382	17 N.D. 266	NO_FOOTNOTES		0	
383	17 N.D. 266	NO_FOOTNOTES		0	
384	17 N.D. 243	NO_FOOTNOTES		0	
385	17 N.D. 275	NO_FOOTNOTES		0	
386	17 N.D. 247	NO_FOOTNOTES		0	
387	17 N.D. 296	NO_FOOTNOTES		0	
388	17 N.D. 48	NO_FOOTNOTES		0	
389	17 N.D. 271	NO_FOOTNOTES		0	
390	17 N.D. 281	NO_FOOTNOTES		0	
391	17 N.D. 313	NO_FOOTNOTES		0	
392	17 N.D. 257	NO_FOOTNOTES		0	
393	17 N.D. 310	NO_FOOTNOTES		0	
394	17 N.D. 343	NO_FOOTNOTES		0	
395	17 N.D. 339	NO_FOOTNOTES		0	
396	17 N.D. 375	NO_FOOTNOTES		0	
397	17 N.D. 368	NO_FOOTNOTES		0	
398	17 N.D. 326	NO_FOOTNOTES		0	
399	17 N.D. 352	NO_FOOTNOTES		0	
400	17 N.D. 340	NO_FOOTNOTES		0	
401	17 N.D. 380	NO_FOOTNOTES		0	
402	17 N.D. 386	NO_FOOTNOTES		0	
403	17 N.D. 248	NO_FOOTNOTES		0	
404	17 N.D. 319	NO_FOOTNOTES		0	
405	17 N.D. 220	NO_FOOTNOTES		0	
406	17 N.D. 235	NO_FOOTNOTES		0	
407	17 N.D. 210	NO_FOOTNOTES		0	
408	17 N.D. 370	NO_FOOTNOTES		0	
409	17 N.D. 301	NO_FOOTNOTES		0	
410	17 N.D. 224	NO_FOOTNOTES		0	
411	17 N.D. 223	NO_FOOTNOTES		0	
412	17 N.D. 215	NO_FOOTNOTES		0	
413	17 N.D. 229	NO_FOOTNOTES		0	
414	17 N.D. 302	NO_FOOTNOTES		0	
415	17 N.D. 393	NO_FOOTNOTES		0	
416	17 N.D. 361	NO_FOOTNOTES		0	
