nw_cite	date_filed	case_name	docket	nd_cite	oid
321 N.W.2d 468	1982-07-09	In Interest of RAS	Civ. No. 10111		8680
321 N.W.2d 491	1982-07-01	In Interest of JKS	Civ. No. 10126		8686
322 N.W.2d 465	1982-07-30	In Interest of JNR	Civ. Nos. 10129, 10145		8709
325 N.W.2d 654	1982-10-20	In Interest of DS	Civ. No. 10162		8748
333 N.W.2d 790	1983-05-12	VanRosendale v. VanRosendale	Civ. No. 10328		8869
347 N.W.2d 331	1984-03-29	Matter of Boschee	Civ. No. 10567		9101
351 N.W.2d 440	1984-07-11	In Interest of JS	Civ. No. 10606		9153
356 N.W.2d 88	1984-10-23	In Interest of JKS	Civ. No. 10605		9236
356 N.W.2d 889	1984-10-25	State v. Lawson	Cr. No. 1007		9235
356 N.W.2d 890	1984-10-26	First Federal Savings & Loan Ass'n of Bismark v. Scherle	Civ. No. 10706		9237
356 N.W.2d 897	1984-10-30	Calavera v. Vix	Civ. No. 10738		9240
356 N.W.2d 899	1984-10-30	State v. Ronngren	Cr. Nos. 1025, 1026		9242
363 N.W.2d 401	1985-03-07	In Interest of Palmer	Civ. No. 10914		9320
380 N.W.2d 646	1986-01-22	State v. Niska	Cr. No. 1123		9563
402 N.W.2d 912	1987-03-26	In Interest of RMB	Civ. No. 11267		9852
420 N.W.2d 325	1988-02-25	In Interest of KRAG	Civ. No. 870141		10081
431 N.W.2d 272	1988-11-08	In Interest of JDZ	Civ. No. 880031		10251
432 N.W.2d 876	1988-12-06	In Interest of JAL	Civ. No. 880112		10271
436 N.W.2d 558	1989-02-20	In Interest of LJ	Civ. No. 880001		10323
449 N.W.2d 574	1989-12-20	In Interest of MMS	Civ. No. 890123		10513
450 N.W.2d 771	1990-01-25	Disciplinary Action Against Larson	Civ. No. 890231		10555
458 N.W.2d 303	1990-07-03	In Interest of CKH	Civ. Nos. 890339, 890351		10666
462 N.W.2d 631	1990-11-13	In Interest of TJO	Civ. No. 900158		10759
470 N.W.2d 196	1991-05-07	In Interest of McMullen	Civ. No. 900266		10888
472 N.W.2d 914	1991-04-29	Disciplinary Board of the Supreme Court of the State v. Johnson	No. 910126		10931
477 N.W.2d 218	1991-11-12	Matter of Estate of Ambers	Civ. No. 910036		10994
484 N.W.2d 102	1992-04-21	Disciplinary Action Against Kaiser	Civ. No. 900393		11118
484 N.W.2d 110	1992-04-21	Disciplinary Action Against Britton	Civ. No. 910353		11120
485 N.W.2d 345	1992-05-05	Disciplinary Action Against Larson	Civ. No. 910344		11143
491 N.W.2d 703	1992-10-28	Disciplinary Action Against Anderson	920226, 920237, 920302, 920303, 920304, 920305, 920306, 920307 and 920308		11239
493 N.W.2d 680	1992-12-14	In Interest of MDN	Cr. No. 920121		11282
496 N.W.2d 566	1993-02-25	Matter of Estate of Rohrich	Civ. No. 920245		11330
500 N.W.2d 603	1993-05-26	In Interest of KS	Civ. No. 920279		11418
506 N.W.2d 368	1993-09-15	Bh v. Kd	Civ. No. 920383		11482
513 N.W.2d 892	1994-03-30	Ken by Shasky v. Rc	Civ. No. 930178		11617
515 N.W.2d 158	1994-04-20	Matter of Estate of Ketterling	Civ. No. 930208		11637
519 N.W.2d 15	1994-06-28	Matter of Guardianship of Nelson	Civ. No. 930316		11686
525 N.W.2d 672	1994-12-20	In Interest of DR	Civ. No. 940124		11812
527 N.W.2d 270	1995-02-08	Matter of Dosch	Civ. Nos. 940310 to 940315		11836
527 N.W.2d 274	1995-02-08	Matter of Bailey	Civ. Nos. 940360, 940361, 940396 and 940397		11838
532 N.W.2d 59	1995-05-17	Conkins v. Steffan	Civ. No. 940328		11924
532 N.W.2d 381	1995-06-01	In Interest of Cm	Civ. No. 940287		11919
532 N.W.2d 653	1995-05-31	Matter of Adoption of JSPL	Civ. No. 940243		11927
533 N.W.2d 691	1995-06-27	Disciplinary Action Against Rau	Civ. Nos. 940185, 940188		11938
534 N.W.2d 816	1995-07-27	Disciplinary Action Against Grenz	Civ. No. 950026		11956
536 N.W.2d 354	1995-08-18	In re Disciplinary Action Against Sletten	No. 2450-W2-9411		11968
536 N.W.2d 354	1995-08-18	In re Disciplinary Action Against Moosbrugger	No. 2504-E-9504		11969
539 N.W.2d 67	1995-10-31	Matter of Estate of Zimbleman	Civ. No. 950056		12020
539 N.W.2d 73	1995-10-31	In Interest of JLD	Civ. No. 950029		12022
546 N.W.2d 361	1996-04-23	In Interest of EJH	Civil No. 950248		12163
546 N.W.2d 366	1996-04-23	City of Bismarck v. Stuart	Criminal No. 950383		12165
548 N.W.2d 372	1996-05-14	Disciplinary Action Against Laqua	Civ. No. 950406		12187
549 N.W.2d 196	1996-06-03	Disciplinary Action Against Madlom	960114-960119		12201
549 N.W.2d 671	1996-06-24	Disciplinary Action Against Orvick	950404		12204
551 N.W.2d 554	1996-06-27	Interest of Kg	Civil No. 950428		12231
551 N.W.2d 794	1996-07-24	Matter of Estate of Luken	Civil No. 960007		12242
552 N.W.2d 317	1996-06-27	In Interest of JAG	Criminal No. 960008		12245
554 N.W.2d 813	1996-10-22	Matter of Estate of Opatz	960109		12304
