oid	neutral	year	pages	fullpage_imgs	img_mp	kb_per_page	classification	has_2nd_source	pdf_path
12435	1997 ND 88	1997					NO_PDF	1	/Users/jerod/refs/nd/opin/pdfs/1997/1997ND88.pdf
12436	1997 ND 95	1997					NO_PDF	1	/Users/jerod/refs/nd/opin/pdfs/1997/1997ND95.pdf
12437	1997 ND 91	1997					NO_PDF	1	/Users/jerod/refs/nd/opin/pdfs/1997/1997ND91.pdf
12438	1997 ND 94	1997					NO_PDF	1	/Users/jerod/refs/nd/opin/pdfs/1997/1997ND94.pdf
12439	1997 ND 93	1997	7	0	0.0	18	born_digital	1	/Users/jerod/refs/nd/opin/pdfs/1997/1997ND93.pdf
18278	1997 ND 85	1997					NO_PDF	1	/Users/jerod/refs/nd/opin/pdfs/1997/1997ND85.pdf
18279	1997 ND 86	1997					NO_PDF	1	/Users/jerod/refs/nd/opin/pdfs/1997/1997ND86.pdf
18280	1997 ND 87	1997					NO_PDF	1	/Users/jerod/refs/nd/opin/pdfs/1997/1997ND87.pdf
18281	1997 ND 90	1997					NO_PDF	1	/Users/jerod/refs/nd/opin/pdfs/1997/1997ND90.pdf
12440	1997 ND 96	1997					NO_PDF	1	/Users/jerod/refs/nd/opin/pdfs/1997/1997ND96.pdf
12441	1997 ND 96	1997					NO_PDF	1	/Users/jerod/refs/nd/opin/pdfs/1997/1997ND96.pdf
12442	1997 ND 97	1997	18	0	0.0	4	born_digital	1	/Users/jerod/refs/nd/opin/pdfs/1997/1997ND97.pdf
12433	1997 ND 107	1997					NO_PDF	1	/Users/jerod/refs/nd/opin/pdfs/1997/1997ND107.pdf
12444	1997 ND 109	1997					NO_PDF	1	/Users/jerod/refs/nd/opin/pdfs/1997/1997ND109.pdf
12445	1997 ND 111	1997					NO_PDF	1	/Users/jerod/refs/nd/opin/pdfs/1997/1997ND111.pdf
12446	1997 ND 101	1997					NO_PDF	1	/Users/jerod/refs/nd/opin/pdfs/1997/1997ND101.pdf
12447	1997 ND 101	1997					NO_PDF	1	/Users/jerod/refs/nd/opin/pdfs/1997/1997ND101.pdf
12448	1997 ND 112	1997					NO_PDF	1	/Users/jerod/refs/nd/opin/pdfs/1997/1997ND112.pdf
12449	1997 ND 103	1997					NO_PDF	1	/Users/jerod/refs/nd/opin/pdfs/1997/1997ND103.pdf
12450	1997 ND 113	1997					NO_PDF	1	/Users/jerod/refs/nd/opin/pdfs/1997/1997ND113.pdf
12451	1997 ND 104	1997					NO_PDF	1	/Users/jerod/refs/nd/opin/pdfs/1997/1997ND104.pdf
12452	1997 ND 115	1997					NO_PDF	1	/Users/jerod/refs/nd/opin/pdfs/1997/1997ND115.pdf
12455	1997 ND 102	1997					NO_PDF	1	/Users/jerod/refs/nd/opin/pdfs/1997/1997ND102.pdf
12456	1997 ND 99	1997					NO_PDF	1	/Users/jerod/refs/nd/opin/pdfs/1997/1997ND99.pdf
12457	1997 ND 114	1997					NO_PDF	1	/Users/jerod/refs/nd/opin/pdfs/1997/1997ND114.pdf
12458	1997 ND 98	1997					NO_PDF	1	/Users/jerod/refs/nd/opin/pdfs/1997/1997ND98.pdf
12459	1997 ND 100	1997					NO_PDF	1	/Users/jerod/refs/nd/opin/pdfs/1997/1997ND100.pdf
12460	1997 ND 110	1997	15	0	0.0	11	born_digital	1	/Users/jerod/refs/nd/opin/pdfs/1997/1997ND110.pdf
12461	1997 ND 108	1997					NO_PDF	1	/Users/jerod/refs/nd/opin/pdfs/1997/1997ND108.pdf
12462	1997 ND 105	1997					NO_PDF	1	/Users/jerod/refs/nd/opin/pdfs/1997/1997ND105.pdf
18248	1997 ND 106	1997					NO_PDF	1	/Users/jerod/refs/nd/opin/pdfs/1997/1997ND106.pdf
12453	1997 ND 116	1997					NO_PDF	1	/Users/jerod/refs/nd/opin/pdfs/1997/1997ND116.pdf
12454	1997 ND 117	1997					NO_PDF	1	/Users/jerod/refs/nd/opin/pdfs/1997/1997ND117.pdf
12464	1997 ND 120	1997					NO_PDF	1	/Users/jerod/refs/nd/opin/pdfs/1997/1997ND120.pdf
12465	1997 ND 123	1997					NO_PDF	1	/Users/jerod/refs/nd/opin/pdfs/1997/1997ND123.pdf
12466	1997 ND 118	1997					NO_PDF	1	/Users/jerod/refs/nd/opin/pdfs/1997/1997ND118.pdf
12467	1997 ND 122	1997					NO_PDF	1	/Users/jerod/refs/nd/opin/pdfs/1997/1997ND122.pdf
12468	1997 ND 124	1997					NO_PDF	1	/Users/jerod/refs/nd/opin/pdfs/1997/1997ND124.pdf
12469	1997 ND 119	1997					NO_PDF	1	/Users/jerod/refs/nd/opin/pdfs/1997/1997ND119.pdf
12470	1997 ND 126	1997					NO_PDF	1	/Users/jerod/refs/nd/opin/pdfs/1997/1997ND126.pdf
12471	1997 ND 126	1997					NO_PDF	1	/Users/jerod/refs/nd/opin/pdfs/1997/1997ND126.pdf
12472	1997 ND 125	1997					NO_PDF	1	/Users/jerod/refs/nd/opin/pdfs/1997/1997ND125.pdf
18250	1997 ND 121	1997					NO_PDF	1	/Users/jerod/refs/nd/opin/pdfs/1997/1997ND121.pdf
12473	1997 ND 128	1997					NO_PDF	1	/Users/jerod/refs/nd/opin/pdfs/1997/1997ND128.pdf
12474	1997 ND 131	1997					NO_PDF	1	/Users/jerod/refs/nd/opin/pdfs/1997/1997ND131.pdf
12475	1997 ND 129	1997					NO_PDF	1	/Users/jerod/refs/nd/opin/pdfs/1997/1997ND129.pdf
12476	1997 ND 132	1997					NO_PDF	1	/Users/jerod/refs/nd/opin/pdfs/1997/1997ND132.pdf
12485	1997 ND 130	1997					NO_PDF	1	/Users/jerod/refs/nd/opin/pdfs/1997/1997ND130.pdf
12477	1997 ND 142	1997	6	0	0.0	26	born_digital	1	/Users/jerod/refs/nd/opin/pdfs/1997/1997ND142.pdf
12478	1997 ND 134	1997					NO_PDF	1	/Users/jerod/refs/nd/opin/pdfs/1997/1997ND134.pdf
12479	1997 ND 134	1997					NO_PDF	1	/Users/jerod/refs/nd/opin/pdfs/1997/1997ND134.pdf
12480	1997 ND 143	1997					NO_PDF	1	/Users/jerod/refs/nd/opin/pdfs/1997/1997ND143.pdf
12481	1997 ND 146	1997					NO_PDF	1	/Users/jerod/refs/nd/opin/pdfs/1997/1997ND146.pdf
12482	1997 ND 146	1997					NO_PDF	1	/Users/jerod/refs/nd/opin/pdfs/1997/1997ND146.pdf
12486	1997 ND 138	1997					NO_PDF	1	/Users/jerod/refs/nd/opin/pdfs/1997/1997ND138.pdf
12487	1997 ND 133	1997					NO_PDF	1	/Users/jerod/refs/nd/opin/pdfs/1997/1997ND133.pdf
12488	1997 ND 135	1997					NO_PDF	1	/Users/jerod/refs/nd/opin/pdfs/1997/1997ND135.pdf
12489	1997 ND 140	1997					NO_PDF	1	/Users/jerod/refs/nd/opin/pdfs/1997/1997ND140.pdf
12490	1997 ND 139	1997					NO_PDF	1	/Users/jerod/refs/nd/opin/pdfs/1997/1997ND139.pdf
12492	1997 ND 137	1997					NO_PDF	1	/Users/jerod/refs/nd/opin/pdfs/1997/1997ND137.pdf
12493	1997 ND 141	1997					NO_PDF	1	/Users/jerod/refs/nd/opin/pdfs/1997/1997ND141.pdf
12494	1997 ND 147	1997					NO_PDF	1	/Users/jerod/refs/nd/opin/pdfs/1997/1997ND147.pdf
12495	1997 ND 145	1997					NO_PDF	1	/Users/jerod/refs/nd/opin/pdfs/1997/1997ND145.pdf
12498	1997 ND 144	1997					NO_PDF	1	/Users/jerod/refs/nd/opin/pdfs/1997/1997ND144.pdf
18252	1997 ND 136	1997					NO_PDF	1	/Users/jerod/refs/nd/opin/pdfs/1997/1997ND136.pdf
12463	1997 ND 127	1997					NO_PDF	1	/Users/jerod/refs/nd/opin/pdfs/1997/1997ND127.pdf
12483	1997 ND 148	1997					NO_PDF	1	/Users/jerod/refs/nd/opin/pdfs/1997/1997ND148.pdf
12484	1997 ND 148	1997					NO_PDF	1	/Users/jerod/refs/nd/opin/pdfs/1997/1997ND148.pdf
