kind	oid	case	detail
STRIP	7364	Nodak Mutual Insurance Co. v. Loeffler	14799->11904	wh=True pp=1
STRIP	7382	Rogelstad v. Farmers Union Grain Terminal 	30730->27111	wh=True pp=1
STRIP	7459	Piper v. Piper	10242->7784	wh=True pp=1
STRIP	7460	State v. Stevens	12674->10378	wh=True pp=0
STRIP	7503	First American Bank & Trust Co. v. George	17839->14154	wh=True pp=1
STRIP	7541	State v. Stokes	15137->11788	wh=True pp=1
STRIP	7545	State v. Jensen	17476->15578	wh=True pp=0
STRIP	7547	State v. Azure	13635->10688	wh=True pp=0
STRIP	7626	Dehn v. Otter Tail Power Co.	20191->19271	wh=True pp=1
STRIP	7666	Gerhardt v. Fleck	11880->10461	wh=True pp=1
STRIP	7683	State v. Hanson	12812->11422	wh=True pp=1
STRIP	7687	Schroeder v. Burleigh County Board of Comm	18702->15073	wh=True pp=1
STRIP	7703	In the Interest of R. L. D. v. L. M. D.	30663->25556	wh=True pp=1
STRIP	7752	Hins v. Heer	12102->10668	wh=True pp=0
STRIP	7792	Metcalf v. Security International Insuranc	30338->24467	wh=True pp=1
STRIP	7828	Burlington Northern, Inc. v. North Dakota 	22826->18189	wh=True pp=0
STRIP	7958	Lang v. Basin Electric Power Cooperative	25923->23677	wh=True pp=1
STRIP	7980	Center State Bank, Inc. v. State Banking B	8991->7958	wh=True pp=1
STRIP	7985	State v. Wells	63371->47304	wh=True pp=0
STRIP	8015	Matter of Estate of Mehus	38249->31368	wh=True pp=1
STRIP	8051	Matter of Estate of Nelson	26923->24542	wh=True pp=1
STRIP	8065	State v. Jensen	55420->53892	wh=True pp=0
STRIP	8099	Nastrom v. Nastrom	40044->32480	wh=True pp=1
STRIP	8138	Matter of Estates of Kjorvestad	19509->16098	wh=True pp=1
STRIP	8155	State v. Engel	28698->22691	wh=True pp=0
STRIP	8161	State v. Gilley	12842->11299	wh=True pp=0
STRIP	8185	Fargo Education Ass'n v. Fargo Public Scho	17748->15070	wh=True pp=1
STRIP	8239	Sanford v. Sanford	13193->12016	wh=True pp=1
STRIP	8247	J. L. R. v. Kidder County Social Service B	39840->36010	wh=True pp=0
STRIP	8249	Bergstrom v. Bergstrom	40800->35989	wh=True pp=1
STRIP	8261	State v. Phelps	28423->22613	wh=True pp=0
STRIP	8266	Boedecker v. St. Alexius Hospital	9524->8339	wh=True pp=1
STRIP	8273	C.B.D. v. W.E.B.	29783->22470	wh=True pp=1
STRIP	8316	State v. Lewis	31278->28695	wh=True pp=0
STRIP	8317	Park View Manor, Inc. v. Housing Authority	47909->41354	wh=True pp=1
STRIP	8340	Kuhn v. Kuhn	13594->11060	wh=True pp=1
STRIP	8367	Dobervich v. Central Cass Public School Di	38372->32113	wh=True pp=1
STRIP	8410	Matter of Estates of Kjorvestad	17602->14871	wh=True pp=1
STRIP	8436	Snortland v. Crawford	60482->55109	wh=True pp=1
STRIP	8455	Paluck v. Board of County Commissioners	26500->23846	wh=True pp=1
STRIP	8472	State v. Nordquist	42487->38860	wh=True pp=0
STRIP	8486	In re the Disciplinary Action against Ulla	2511->755	wh=True pp=0
STRIP	8487	State v. Kaufman	21303->18758	wh=True pp=0
STRIP	8493	State v. Flohr	10095->7275	wh=True pp=0
STRIP	8536	State v. McLain	16512->13865	wh=True pp=0
STRIP	8616	State v. Silkman	4447->3473	wh=True pp=0
STRIP	8656	State v. Skjonsby	135093->112314	wh=True pp=0
STRIP	8836	State v. Morris	39027->30475	wh=True pp=0
STRIP	8889	Garner Public School District No. 10 v. Go	33658->29859	wh=True pp=0
STRIP	8950	TRANSPORTATION DIV. OF FARGO CHAMBER OF CO	8751->7734	wh=True pp=1
STRIP	8969	Washburn Public School District No. 4 v. S	16282->13916	wh=True pp=1
STRIP	9163	State v. Gawryluk	10073->7998	wh=True pp=0
STRIP	9252	STATE BANK OF BURLEIGH CTY. TRUST v. Patte	11614->10003	wh=True pp=0
STRIP	9351	In re the Request for Disciplinary Action 	1928->610	wh=True pp=0
STRIP	9352	Federal Land Bank of Saint Paul v. Wallace	21686->17987	wh=True pp=1
STRIP	9371	First National Bank of Belfield v. Burich	27534->19169	wh=True pp=1
STRIP	9410	Benefiet v. Hoiby	11576->9261	wh=True pp=1
STRIP	9453	Meyer v. Hansen	23352->17546	wh=True pp=1
STRIP	9656	Hanson v. Williams County	116368->114212	wh=True pp=1
STRIP	9689	State v. White	13283->12384	wh=True pp=0
STRIP	9769	State v. Kesler	22040->19274	wh=True pp=0
STRIP	9911	Powell v. Hjelle	6764->5060	wh=True pp=1
STRIP	10039	Courchene v. Delaney Distributors, Inc.	4735->4235	wh=True pp=1
STRIP	10042	Disciplinary Board of the Supreme Court of	2567->2208	wh=True pp=0
STRIP	10053	Olson v. North Dakota Workers Compensation	11027->9753	wh=True pp=1
STRIP	10098	City of Bismarck v. Hoopman	13282->12262	wh=True pp=1
STRIP	10148	Bottineau County Water Resource District v	37636->33080	wh=True pp=1
STRIP	10212	Gange v. CLERK OF BURLEIGH CTY. DIST. COUR	28244->26098	wh=True pp=0
STRIP	10255	FIRST NATL. BANK & TRUST CO. v. Jacobsen	21434->20041	wh=True pp=1
STRIP	10280	State Bank of Kenmare v. Lindberg	4332->3541	wh=True pp=1
STRIP	10306	State v. Toman	3848->3201	wh=True pp=0
STRIP	10312	Jerry Harmon Motors, Inc. v. First Nationa	11585->10411	wh=True pp=1
STRIP	10416	Production Credit Ass'n of Mandan v. Obrig	17404->16042	wh=True pp=0
STRIP	10425	Club Broadway, Inc. v. Broadway Park	15205->14196	wh=True pp=1
STRIP	10540	State v. Wahl	24764->21914	wh=True pp=0
STRIP	10793	State Ex Rel. Younger v. Bryant	26874->23967	wh=True pp=1
STRIP	10797	In re Goetz	2128->607	wh=True pp=0
STRIP	10800	State v. Wilson	15853->13296	wh=True pp=0
STRIP	10911	Stark County Social Service Board v. R.S.	6258->5800	wh=True pp=1
STRIP	10977	Oanes v. Westgo, Inc.	32856->26640	wh=True pp=1
STRIP	11099	Green v. Gustafson	30231->26119	wh=True pp=1
STRIP	11230	K.B. v. G.M.	17263->13543	wh=True pp=1
STRIP	11302	D.L.D. v. North Dakota Department of Human	20231->16460	wh=True pp=1
STRIP	11310	Kinney v. First National Bank North Dakota	14275->12480	wh=True pp=1
STRIP	11481	B.H. v. K.D.	75898->67897	wh=True pp=1
STRIP	11504	Hallock v. Mickels	35290->27900	wh=True pp=1
STRIP	11605	Weber v. Weber	31688->27762	wh=True pp=1
STRIP	11620	Halseth v. North Dakota Workers Compensati	15313->12823	wh=True pp=1
STRIP	11645	State Ex Rel. Workers Compensation Bureau 	13789->11682	wh=True pp=1
STRIP	11716	City of Fairgo v. Thompson	28733->24724	wh=True pp=0
STRIP	11749	City of Fargo v. Mark	2742->2150	wh=True pp=1
STRIP	11775	State v. Lefthand	27280->17138	wh=True pp=0
STRIP	11799	Smith v. Rustad	4622->3611	wh=True pp=0
STRIP	11916	W.J.M. v. J.B.	37976->31864	wh=True pp=1
STRIP	11980	State v. Clinkscales	20303->15723	wh=True pp=0
STRIP	12078	Basin Electric Power Cooperative v. North 	27604->25007	wh=True pp=1
STRIP	12136	State v. Kvislen	4902->3777	wh=True pp=0
STRIP	12137	Waters v. J.S.	17461->13643	wh=True pp=1
STRIP	12141	State v. Barth	6377->5158	wh=True pp=0
STRIP	12547	Kinnischtzke v. City of Glen Ullin	51712->42410	wh=True pp=0
STRIP	12548	Mevorah v. Goodman	68069->55566	wh=True pp=0
STRIP	12698	State Ex Rel. Workmen's Compensation Fund 	55981->45482	wh=True pp=0
STRIP	12699	Fleck v. Fleck	68498->62328	wh=True pp=0
STRIP	12703	Dixon v. Kaufman	46655->36909	wh=True pp=0
STRIP	12704	Knudsen v. Lyons	21507->15871	wh=True pp=0
STRIP	12829	Soderfelt v. City of Drayton	48294->42391	wh=True pp=0
STRIP	12830	State Ex Rel. Minot v. Gronna	138575->113690	wh=True pp=0
STRIP	12832	Seher v. Woodlawn School District No. 26	33239->25892	wh=True pp=0
STRIP	12835	Ferch v. Housing Authority of Cass County	91638->65048	wh=True pp=0
STRIP	12836	Fradet v. City of Southwest Fargo	47224->36987	wh=True pp=0
STRIP	13149	Farmers Ins. Exchange v. Arlt	33895->28676	wh=True pp=0
STRIP	13150	Schaff v. Kennelly	53304->47008	wh=True pp=0
STRIP	13153	Dahl v. North American Creameries, Inc.	40756->35018	wh=True pp=0
STRIP	13266	Tayloe v. City of Wahpeton	32878->25744	wh=True pp=0
STRIP	13269	Nicholson v. Roop	53833->47884	wh=True pp=0
STRIP	13271	Breitwieser v. State	29569->25768	wh=True pp=0
STRIP	13272	Ellison v. Strandback	28054->23605	wh=True pp=0
STRIP	13398	Grandin v. Gardiner	38504->33887	wh=True pp=0
STRIP	13400	Umland v. Frendberg	25915->22451	wh=True pp=0
STRIP	13402	Ginter v. Ginter	18664->16841	wh=True pp=0
STRIP	13528	Raszler v. Raszler	15248->13196	wh=True pp=0
STRIP	13532	Petroleum Exchange Inc. v. Poynter	34379->30778	wh=True pp=0
STRIP	13618	Bartell v. Morken	30566->26572	wh=True pp=0
STRIP	13619	Mevorah v. Goodman	39574->32711	wh=True pp=0
STRIP	13622	Coman v. Williams	16003->13523	wh=True pp=0
STRIP	13624	Zimmerman v. Kitzan	24320->20936	wh=True pp=0
STRIP	13627	Stormon v. Weiss	214636->204437	wh=True pp=0
STRIP	13629	Hoffer v. Crawford	32367->28008	wh=True pp=0
STRIP	13633	Hull v. Rolfsrud	69782->59060	wh=True pp=0
STRIP	13773	Ulrich v. Amerada Petroleum Corp.	32403->27910	wh=True pp=0
STRIP	13777	Clark v. Josephson	36684->32420	wh=True pp=0
STRIP	13779	Megarry Bros. v. City of St. Thomas	30122->26612	wh=True pp=0
STRIP	13781	Ives v. Hanson	23736->20912	wh=True pp=0
STRIP	13875	Gunsch v. Gunsch	78637->73729	wh=True pp=0
STRIP	13878	State v. Whiteman	49629->46374	wh=True pp=0
STRIP	13879	Spenningsby v. Peterson	12105->10444	wh=True pp=0
STRIP	14019	Belt v. City of Grand Forks	33319->28427	wh=True pp=0
STRIP	14020	Corbett v. La Bere	19228->16989	wh=True pp=0
STRIP	14022	Mevorah v. Goodman	26653->23792	wh=True pp=0
STRIP	14026	Lee v. AAA North Dakota Automobile Club	11496->10236	wh=True pp=0
STRIP	14027	Strom v. Giske	40620->36302	wh=True pp=0
STRIP	14029	Moe v. Kettwig	49898->43025	wh=True pp=0
STRIP	20480	Court of Appeals of North Dakota. REIMERS 	3159->2641	wh=True pp=0
STRIP	20482	Unk	1910->498	wh=True pp=0
STRIP	20486	STATE of North Dakota, Plaintiff and Appel	5576->4991	wh=True pp=1
STRIP	20487	Court of Appeals of North Dakota. CITY OF 	5458->4468	wh=True pp=0
