kind	cite	keep	drop	names	keep_meta	drop_meta
NEEDS_DECISION	55 U.S.L.W. 2667	9867	9868	Federal Land Bank of St. Paul v. Lillehaugen | Hanson v. Hanson	K[1987-04-16 auth=VandeWalle tl=28213 cb=27 src=court-archive*,NW2d]	D[1987-04-16 auth=Gierke tl=31995 cb=17 src=court-archive*,NW2d]
NEEDS_DECISION	61 N.W. 18	5322	5321	Bennett v. Northern Pacific Ry. Co. | Hannah v. Chase	K[1894-11-13 auth=Corliss tl=1960 cb=3 src=NW*]	D[1894-11-13 auth=Bartholomew tl=8668 cb=3 src=NW*]
NEEDS_DECISION	63 N.D. 640	4427	4426	Baird v. Gray | Baird v. Gray	K[1933-07-17 auth=PC tl=908 cb=4 src=NW*]	D[1933-07-17 auth=Birdzell tl=1015 cb=0 src=westlaw*,NW]
NEEDS_DECISION	68 N.D. 195	4810	4809	Southall v. Quam | Southall v. Quam	K[1938-02-07 auth=PC tl=1354 cb=0 src=NW*]	D[1938-02-07 auth=Burke tl=1589 cb=0 src=westlaw*,NW]
NEEDS_DECISION	68 N.D. 281	4844	4842	Weir v. Armour Co. | Weir v. Armour & Co.	K[1938-03-29 auth=PC tl=1120 cb=1 src=NW*]	D[1938-03-29 auth=PC tl=1317 cb=0 src=westlaw*,NW]
NEEDS_DECISION	68 N.D. 282	4843	4841	Haugen v. Armour Co. | Haugen v. Armour & Co.	K[1938-03-29 auth=PC tl=1121 cb=1 src=NW*]	D[1938-03-29 auth=PC tl=1327 cb=0 src=westlaw*,NW]
NEEDS_DECISION	72 N.D. 26	9813	9811	McArthur v. Cass County | McArthur v. Cass County	K[1942-05-26 auth=PC tl=856 cb=0 src=NW2d*]	D[1942-05-26 auth=PC tl=925 cb=0 src=westlaw*,NW2d]
NEEDS_DECISION	72 N.D. 27	9812	9810	Arnold v. Cass County | Arnold v. Cass County	K[1942-05-26 auth=PC tl=862 cb=0 src=NW2d*]	D[1942-05-26 auth=PC tl=931 cb=0 src=westlaw*,NW2d]
NEEDS_DECISION	73 N.W.2d 782	14733	14732	Karabensh v. Grant | Gunsch v. Bauer	K[1955-12-19 auth=Burke tl=7934 cb=8 src=westlaw*,NW2d]	D[1955-12-19 auth=Burke tl=1411 cb=0 src=westlaw*,NW2d]
NEEDS_DECISION	75 N.W. 1135	5507	5506	Cass County v. Certain Lands of Darling | Cass County v. Certain Lands of Fisher	K[1898-05-27 auth=PC tl=672 cb=0 src=NW*]	D[1898-05-27 auth=PC tl=638 cb=0 src=NW*]
NEEDS_DECISION	75 N.W. 781	5528	5527	Betts v. Signor | Hillsboro National Bank v. Hyde	K[1898-04-28 auth=Corliss tl=1012 cb=0 src=NW*]	D[1898-04-28 auth=Corliss tl=8011 cb=0 src=NW*]
NEEDS_DECISION	80 N.W. 762	5658	5657	Becker v. Duncan | Heyrock v. McKenzie	K[1899-10-18 auth=Young tl=2566 cb=0 src=NW*]	D[1899-10-18 auth=Wallin tl=6492 cb=0 src=NW*]
NEEDS_DECISION	9 N.D. 615	5774	5747	Douglas v. Glazier | Emmons County v. Wilson	K[1900-12-08 auth=Bartholomew tl=6196 cb=2 src=NW*]	D[1900-12-08 auth=Bartholomew tl=756 cb=0 src=NW*]
